"A 시군구별",Y2023 2023,Y2023 2023
"A 시군구별",T1 출생아수,T2 합계출산율
"00 전국",230028,0.721
"11 서울특별시",39456,0.552
"11010 종로구",396,0.406
"11020 중구",534,0.534
"11030 용산구",1012,0.547
"11040 성동구",1483,0.639
"11050 광진구",1231,0.449
"11060 동대문구",1359,0.566
"11070 중랑구",1762,0.623
"11080 성북구",1695,0.588
"11090 강북구",826,0.478
"11100 도봉구",971,0.518
"11110 노원구",2091,0.673
"11120 은평구",1748,0.515
"11130 서대문구",1301,0.570
"11140 마포구",1571,0.476
"11150 양천구",1449,0.533
"11160 강서구",2635,0.545
"11170 구로구",1937,0.643
"11180 금천구",963,0.559
"11190 영등포구",2163,0.635
"11200 동작구",1695,0.574
"11210 관악구",1489,0.394
"11220 서초구",1687,0.553
"11230 강남구",2296,0.558
"11240 송파구",2968,0.543
"11250 강동구",2194,0.629
"21 부산광역시",12866,0.664
"21010 중구",70,0.320
"21020 서구",302,0.566
"21030 동구",366,0.715
"21040 영도구",317,0.692
"21050 부산진구",1615,0.648
"21060 동래구",1061,0.672
"21070 남구",784,0.596
"21080 북구",1166,0.732
"21090 해운대구",1398,0.652
"21100 사하구",1076,0.676
"21110 금정구",630,0.580
"21120 강서구",1015,0.987
"21130 연제구",836,0.646
"21140 수영구",662,0.561
"21150 사상구",682,0.600
"21510 기장군",886,0.845
"22 대구광역시",9410,0.702
"22010 중구",533,0.824
"22020 동구",1472,0.727
"22030 서구",365,0.474
"22040 남구",453,0.563
"22050 북구",1649,0.698
"22060 수성구",1166,0.569
"22070 달서구",2003,0.684
"22510 달성군",1712,1.025
"22520 군위군",57,1.082
"23 인천광역시",13659,0.694
"23010 중구",858,0.764
"23020 동구",232,0.775
"23040 연수구",1962,0.734
"23050 남동구",1830,0.592
"23060 부평구",2172,0.637
"23070 계양구",966,0.550
"23080 서구",3629,0.820
"23090 미추홀구",1711,0.659
"23510 강화군",240,1.043
"23520 옹진군",59,0.884
"24 광주광역시",6172,0.706
"24010 동구",541,0.775
"24020 서구",1027,0.588
"24030 남구",831,0.694
"24040 북구",1856,0.708
"24050 광산구",1917,0.774
"25 대전광역시",7194,0.787
"25010 동구",951,0.825
"25020 중구",792,0.645
"25030 서구",2322,0.723
"25040 유성구",2380,0.895
"25050 대덕구",749,0.833
"26 울산광역시",5082,0.814
"26010 중구",734,0.655
"26020 남구",1369,0.731
"26030 동구",633,0.790
